Category,Subcategory,parameter name,HOUSEHOLDS,SERVICES,INDUSTRY,TRANSPORTATION,Units
Electricity,Electricity,ELECTRICITY,9769.215422,5082.568024,17790.12802,0.0,[GWh]
Heat,High temperature,HEAT_HIGH_T,0.0,0.0,31680.95418,0.0,[GWh]
Heat,Space heating,HEAT_LOW_T_SH,25142.33426,12745.00443,3771.2929,0.0,[GWh]
Heat,Hot water,HEAT_LOW_T_HW,4983.996451,2767.957893,1997.09392,0.0,[GWh]
Cold,Process cooling,PROCESS_COOLING,0.0,0.0,1295.955194,0.0,[GWh]
Cold,Space cooling,SPACE_COOLING,630.3918836,1824.405171,68.93731581,0.0,[GWh]
Mobility,Passenger,MOBILITY_PASSENGER,0.0,0.0,0.0,109605.1732,[Mpkm]
Mobility,Freight,MOBILITY_FREIGHT,0.0,0.0,0.0,107004.4164,[Mtkm]
Mobility,Long-haul passenger flights,AVIATION_LONG_HAUL,0.0,0.0,0.0,13696.656129863635,[Mpkm]
Mobility,International shipping,SHIPPING,0.0,0.0,0.0,387646.1779,[Mtkm]
Non-energy,Non-energy,NON_ENERGY,0.0,0.0,22082.91249,0.0,[GWh]
