Category;Subcategory;parameter name;HOUSEHOLDS;SERVICES;INDUSTRY;TRANSPORTATION;Units
Electricity;Electricity;ELECTRICITY;2710.3693273096765;2051.9669386695723;1862.2700850855008;0.0;[GWh]
Heat;High temperature;HEAT_HIGH_T;0.0;0.0;4557.948702560434;0.0;[GWh]
Heat;Space heating;HEAT_LOW_T_SH;8918.43774708868;4018.3115804049266;1498.5237979581175;0.0;[GWh]
Heat;Hot water;HEAT_LOW_T_HW;1728.3867153558856;953.5050069038078;2643.4359314628578;0.0;[GWh]
Cold;Process cooling;PROCESS_COOLING;0.0;0.0;622.3387418097101;0.0;[GWh]
Cold;Space cooling;SPACE_COOLING;214.0465302937859;619.4679957723586;38.816256783297035;0.0;[GWh]
Mobility;Passenger;MOBILITY_PASSENGER;0.0;0.0;0.0;47904.217104114185;[Mpkm]
Mobility;Freight;MOBILITY_FREIGHT;0.0;0.0;0.0;33521.12533514659;[Mtkm]
Mobility;International passenger flights;EXTRA_EU_AVIATION;0.0;0.0;0.0;1970.259340269327;[Mpkm]
Mobility;International shipping;INTERNATIONAL_SHIPPING;0.0;0.0;0.0;285024.2176304969;[Mtkm]
Non-energy;Non-energy;NON_ENERGY;0.0;0.0;10395.194713595196;0.0;[GWh]
