Category;Subcategory;parameter name;HOUSEHOLDS;SERVICES;INDUSTRY;TRANSPORTATION;Units
Electricity;Electricity;ELECTRICITY;4079.7460942729867;4977.629939012197;1540.4530777467987;0.0;[GWh]
Heat;High temperature;HEAT_HIGH_T;0.0;0.0;7547.144780425738;0.0;[GWh]
Heat;Space heating;HEAT_LOW_T_SH;18937.050173901625;4570.661868347635;0.0;0.0;[GWh]
Heat;Hot water;HEAT_LOW_T_HW;3750.0726403662156;1833.6220217648975;1794.3434056620717;0.0;[GWh]
Cold;Process cooling;PROCESS_COOLING;0.0;0.0;622.2142548590082;0.0;[GWh]
Cold;Space cooling;SPACE_COOLING;1150.5042569688283;3329.652506928478;0.0;0.0;[GWh]
Mobility;Passenger;MOBILITY_PASSENGER;0.0;0.0;0.0;45067.008153235496;[Mpkm]
Mobility;Freight;MOBILITY_FREIGHT;0.0;0.0;0.0;19834.915699823337;[Mtkm]
Mobility;International passenger flights;EXTRA_EU_AVIATION;0.0;0.0;0.0;2411.5887445623166;[Mpkm]
Mobility;International shipping;INTERNATIONAL_SHIPPING;0.0;0.0;0.0;64929.78373598808;[Mtkm]
Non-energy;Non-energy;NON_ENERGY;0.0;0.0;3574.3685056357;0.0;[GWh]
