Category;Subcategory;parameter name;HOUSEHOLDS;SERVICES;INDUSTRY;TRANSPORTATION;Units
Electricity;Electricity;ELECTRICITY;13829.005385145769;57965.21787463177;16474.99991420855;0.0;[GWh]
Heat;High temperature;HEAT_HIGH_T;0.0;0.0;82758.91194456434;0.0;[GWh]
Heat;Space heating;HEAT_LOW_T_SH;71354.49968709276;34859.342049021405;14127.28378166914;0.0;[GWh]
Heat;Hot water;HEAT_LOW_T_HW;14817.700423309465;21483.4773768568;14548.899553925183;0.0;[GWh]
Cold;Process cooling;PROCESS_COOLING;0.0;0.0;10241.219467283083;0.0;[GWh]
Cold;Space cooling;SPACE_COOLING;5607.16014729335;16227.575628771096;277.81096060788974;0.0;[GWh]
Mobility;Passenger;MOBILITY_PASSENGER;0.0;0.0;0.0;218426.28558309856;[Mpkm]
Mobility;Freight;MOBILITY_FREIGHT;0.0;0.0;0.0;133481.47635980003;[Mtkm]
Mobility;International passenger flights;EXTRA_EU_AVIATION;0.0;0.0;0.0;92637.9273326629;[Mpkm]
Mobility;International shipping;INTERNATIONAL_SHIPPING;0.0;0.0;0.0;4603167.244308996;[Mtkm]
Non-energy;Non-energy;NON_ENERGY;0.0;0.0;77511.42524180246;0.0;[GWh]
